id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16247955,"Urban Lodge (24), City Studio Vienna",909601,Bianca & Paul,,Leopoldstadt,48.2173898088538,16.408763513091703,Entire home/apt,125,2,16,2019-01-03,0.75,29,314
16248049,"Urban Lodge (07), City Apartment Vienna",909601,Bianca & Paul,,Leopoldstadt,48.21722392551425,16.40713761866793,Entire home/apt,145,2,7,2018-11-30,0.76,29,334
16248499,"Urban Lodge (09), Family & Friends in Vienna",909601,Bianca & Paul,,Leopoldstadt,48.21933355868707,16.40888976532854,Entire home/apt,385,2,19,2019-01-04,0.95,29,336
16248552,"Urban Lodge (13), City Apartment Vienna",909601,Bianca & Paul,,Leopoldstadt,48.217216344309136,16.40738163883951,Entire home/apt,145,2,6,2018-05-03,0.28,29,193
16248623,Belvedere Cream,54441651,Vienna Stay Apartments,,Wieden,48.189688694730094,16.37148171317575,Entire home/apt,85,2,2,2018-12-29,0.95,56,309
16248662,"Urban Lodge (16), City Apartment Vienna",909601,Bianca & Paul,,Leopoldstadt,48.21879289889223,16.408868861857602,Entire home/apt,145,2,9,2019-01-01,0.43,29,335
16248885,"Urban Lodge (19), City Apartment Vienna",909601,Bianca & Paul,,Leopoldstadt,48.21871912051621,16.408248142122734,Entire home/apt,145,2,12,2018-12-16,0.58,29,339
16248942,"Urban Lodge (22), City Apartment Vienna",909601,Bianca & Paul,,Leopoldstadt,48.217289145078176,16.40705778434219,Entire home/apt,145,2,9,2018-11-25,0.43,29,332
16249003,"Urban Lodge (25), City Apartment Vienna",909601,Bianca & Paul,,Leopoldstadt,48.21852039109139,16.407631311864844,Entire home/apt,145,2,3,2018-11-25,0.14,29,259
16250282,Beautiful Spacious Viennese Apartment,73885681,Gerda,,Whring,48.217563462121696,16.34018015352548,Entire home/apt,250,3,7,2018-04-25,0.27,1,313
16252365,Central Designer Appartment,29775689,Andrija,,Leopoldstadt,48.21529726504809,16.381826120380545,Entire home/apt,100,3,3,2019-01-01,0.22,3,9
16255223,central cosy flat with own balcony,15256161,Michaela,,Mariahilf,48.193725929538495,16.34492656004926,Entire home/apt,67,1,12,2018-12-09,0.52,1,155
16262148,Feel like the old Emporer,24311838,Andreas,,Innere Stadt,48.20980670829627,16.38184593483459,Entire home/apt,340,2,144,2019-01-28,5.51,4,258
16263607,Lovely apartment in the heart of Vienna,106352266,Daniela,,Innere Stadt,48.205312739734964,16.36770687861555,Entire home/apt,70,2,89,2019-02-03,3.46,2,251
16265385,5 STAR APARTMENT VIENNA CITY,106367055,Martin,,Rudolfsheim-Fnfhaus,48.18853895432269,16.332804107583616,Entire home/apt,54,3,34,2018-09-13,1.29,1,300
16268027,Cozy & Spacious 2 Rooms,3604793,Benjamin,,Brigittenau,48.23014352844755,16.368259094532164,Entire home/apt,38,4,7,2018-09-05,0.38,3,38
16270781,Danube Apartments (47) Brand New with Balcony,105107106,Elisabeth,,Brigittenau,48.23694468794091,16.386346379284657,Entire home/apt,245,2,40,2019-01-02,1.56,11,310
16279412,Gorgeous Apartment in City Center (18),1547126,Anna & Vladan,,Innere Stadt,48.20720211523576,16.377357248806955,Entire home/apt,110,1,15,2019-01-23,0.70,35,175
16280991,Amazing 170m2 beletage in Vienna/Döbling,106484231,Ingrid,,Dbling,48.238235304576165,16.35319613336108,Entire home/apt,117,2,52,2019-01-02,2.03,1,322
16281180,"Classic 19th Century, central & quiet (7)",29494065,Norbert,,Hernals,48.221231564486345,16.330663385271826,Entire home/apt,34,3,36,2019-01-02,1.40,12,50
16281665,Danube Apartments (17) Brand New with Balcony,105107106,Elisabeth,,Brigittenau,48.23816821712283,16.3863748807287,Entire home/apt,245,2,24,2018-12-08,1.02,11,264
16281843,Danube Apartments (14) Cozy & pet friendly,105107106,Elisabeth,,Brigittenau,48.237094767298885,16.386495029444784,Entire home/apt,95,2,12,2018-12-07,0.54,11,326
16283340,CHILL LOUNGE CITY APARTMENT,15656745,Sascha,,Leopoldstadt,48.21736820911409,16.38500127616412,Entire home/apt,90,2,50,2019-01-02,1.95,2,347
16292415,Stylish and cosy Central Vienna apartment,1926445,Aylin,,Brigittenau,48.23222403438208,16.37344598316886,Entire home/apt,40,3,103,2019-01-02,4.05,1,31
16292793,95 m2 flat with amazing few in the heart of vienna,50426128,Alexander,,Brigittenau,48.2289408855557,16.36787833469158,Private room,45,1,9,2018-12-09,0.35,1,0
16293811,#industrial unicorn room#available white bed room,60879778,Stephan,,Dbling,48.234028863873995,16.355282977298902,Private room,30,3,20,2018-12-17,0.77,2,15
16295704,Charming flat in awesome city center location,75631485,Hendrik,,Josefstadt,48.20847488183144,16.353110073914273,Entire home/apt,250,2,4,2019-01-02,0.16,1,88
16297469,"Calm, bright and cosy flat",11922543,Solweig,,Alsergrund,48.218288627971745,16.34546245402468,Entire home/apt,45,3,2,2017-02-18,0.08,1,0
16297759,Cozy&stylish apartment close to VIC & UNO City,99379972,Roland,,Donaustadt,48.233803976431226,16.409716473395214,Entire home/apt,110,3,40,2019-01-21,1.56,1,230
16300038,PRIVATE ROOM in Liechtensteinstrasse.,31697392,María,,Alsergrund,48.231017756403126,16.357246821566612,Private room,35,2,17,2017-10-23,0.65,3,0
16305775,Cozy apartment close to the city center,34843906,Patricia,,Brigittenau,48.22923048722684,16.372046618150833,Entire home/apt,54,2,18,2018-09-10,0.70,1,0
16306405,Wohnung Luxus Penthouse Vienna Center,106697605,Arthur,,Wieden,48.18846815742278,16.374677413476736,Entire home/apt,260,1,17,2018-12-30,0.66,2,321
16307829,"30m2 room, pallet-furniture",106708407,Katja,,Ottakring,48.210596991070474,16.322795413418994,Private room,20,4,18,2018-09-01,0.69,2,155
16307842,Studio beim Rathaus 173,26940706,Hotel Josefshof,,Josefstadt,48.20786300395668,16.354264905390114,Entire home/apt,100,2,19,2018-12-23,0.74,5,353
16309531,Stylish apartment with balcony,65346301,Konstantin,,Donaustadt,48.225875244526925,16.45220084084149,Entire home/apt,45,2,144,2019-01-06,5.52,3,70
16317360,Stylish Apartment in the HIP CENTER,106783968,Oona,,Neubau,48.1997258833778,16.33934422953818,Entire home/apt,39,3,53,2018-10-11,2.14,1,9
16317648,Cozy apartment with good infrastructure,106786369,Zonka,,Favoriten,48.17788669298616,16.358743469668703,Entire home/apt,62,2,175,2019-02-02,6.70,1,256
16318049,Cozy Central Room,106790040,Lisa,,Mariahilf,48.19485867791735,16.351605110838573,Private room,28,2,7,2017-08-27,0.27,1,0
16318291,#industrial unicorn room,60879778,Stephan,,Dbling,48.23256221715165,16.354747042236134,Entire home/apt,60,4,0,,,2,160
16321756,Apartment Belvedere,16116057,Günther,,Wieden,48.1911193717483,16.377750389891784,Entire home/apt,65,30,60,2018-12-12,2.36,1,41
16327674,Classy Viennese apartment in top location,54776710,Sebastian,,Neubau,48.20393481164193,16.353279095571395,Private room,36,3,3,2017-09-29,0.17,1,0
16331770,Brand new apartment 5 min to the city center,106908358,Wojtek,,Favoriten,48.182003458325525,16.377445879332008,Entire home/apt,65,2,90,2019-02-03,3.51,1,250
16331888,Helle Wohnung mit Balkon/bright apartment +balcony,21623889,Lydia,,Margareten,48.184953742300685,16.351971975453733,Entire home/apt,75,5,2,2017-01-19,0.08,1,0
16334367,"Quiet City Appartment at subway, free parking!",106929746,Monica,,Hietzing,48.18965549552532,16.28446273259583,Entire home/apt,55,5,16,2018-10-20,0.62,1,16
16340661,Vienna house on the lake,106988311,Werner,,Liesing,48.153749123914594,16.323991873353506,Entire home/apt,120,3,12,2019-01-01,0.47,1,62
16341397,"Bright, cosy and quiet appartment, Hauptbahnhof",5994470,Darko,,Favoriten,48.18066320165302,16.378815768284394,Entire home/apt,65,3,0,,,1,0
16341398,Family-loft in the city center,106805238,Leonie,,Innere Stadt,48.21196486415379,16.371737536372912,Entire home/apt,270,3,37,2019-01-03,1.44,1,13
16345876,stylish + cosy apartment near the center,40277515,Kurt,,Margareten,48.184715704353735,16.34804547853658,Entire home/apt,45,1,80,2019-01-08,3.11,5,307
16346662,Toller Altbau*APARTMENT IN TYPICAL VIENNESE STYLE*,38166429,Theresa,,Alsergrund,48.22540197213137,16.352721631891324,Entire home/apt,98,3,9,2019-01-02,0.35,3,2
16346973,"Schöne Wohnung, Super Lage-3 min to METRO/UBAHN",38682009,Tuba,,Ottakring,48.21180773921131,16.30683214113519,Entire home/apt,55,2,54,2019-01-01,2.05,1,15
16348405,"Beautiful, cozy and warm apartment in great area",1441217,Ben,,Alsergrund,48.22946171736312,16.356658384709352,Entire home/apt,36,2,40,2019-01-25,1.59,9,76
16348585,Danube Apartments (32) XXL Apartment with Balcony,105107106,Elisabeth,,Brigittenau,48.23696136214426,16.387959908710428,Entire home/apt,345,2,29,2019-01-02,1.13,11,321
16350137,Vienna Centre Apartment 2 Bedrooms,106202067,Wan,,Innere Stadt,48.20434881839838,16.370217121925897,Entire home/apt,250,2,8,2018-11-27,0.31,2,332
16356056,cozy apartment between Prater and Danube River,107107939,Renate Und Thomas,,Leopoldstadt,48.21954557010622,16.411777191685857,Entire home/apt,70,2,16,2018-08-30,0.62,2,0
16356909,charming apartment in Vienna's Servite quarter,107112694,Eduard,,Alsergrund,48.22177871615357,16.366578341532776,Entire home/apt,78,2,51,2019-01-30,1.98,1,71
16360495,Spacious room in cozy apartment,44755259,Ema,,Whring,48.22053616512463,16.338418256270568,Private room,20,2,11,2017-10-02,0.42,1,0
16362489,Huge comfy room in the beautiful 8th district,107152721,Ted,,Josefstadt,48.214856535900765,16.3446452789158,Private room,35,1,17,2017-09-15,0.66,1,0
16362926,"Central, stylish, very quiet, free mobile Hotspot!",73595573,Georg,,Alsergrund,48.22806425032623,16.360381105813378,Entire home/apt,70,5,16,2019-01-03,0.63,1,275
16364035,Road House Apartments Vienna - The Basic Root 2,17712311,Jola,,Ottakring,48.213044423213496,16.33801200722841,Entire home/apt,28,1,102,2019-01-21,3.95,31,327
16365070,Vienne Central River & Wood Apartment,1643928,Harry,,Landstra§e,48.204615694756704,16.397112091253824,Entire home/apt,72,1,112,2019-01-12,4.36,25,325
16366027,COZY and quiet flat - 12 min to center,1214545,Chris H.,,Alsergrund,48.217393471080186,16.344947363976733,Entire home/apt,45,2,89,2019-01-19,3.41,1,341
16366123,Tibet Guest House 1,104953821,Norbu,,Neubau,48.20331278555596,16.343562897937844,Private room,25,25,56,2018-08-31,2.15,6,172
16366549,Small House in Wonderful Garden,1025255,Anna,,Donaustadt,48.24185561332368,16.409860164857154,Entire home/apt,70,3,33,2018-12-27,1.29,1,97
16371622,Cozy Little Flat near Schönbrunn,106978305,Nadia,,Penzing,48.19716761134854,16.30961313191668,Entire home/apt,35,1,27,2018-12-30,1.05,1,84
16373708,Stylish 2 Bedroom apartment near Belvedere & City,17520999,Asim And Heidrun,,Favoriten,48.18340229104256,16.37960167503806,Entire home/apt,69,2,110,2019-01-30,4.70,1,137
